isolate	comparedTo_iso	method_1	sanity_check	YN00_dN		YN00_dN_SE		YN00_kappa		YN00_dS_SE		YN00_N		YN00_S		YN00_t		YN00_omega		YN00_dS	method_2		LWL85m_dN		LWL85m_w		LWL85m_N		LWL85m_S		LWL85m_rho		LWL85m_dS	method3		LPB93_dN		LPB93_dS		LPB93_w	method4		LWL85_dN		LWL85_S		LWL85_dS		LWL85_w		LWL85_N	method5		NG86_dN		NG86_omega		NG86_dS
SRR13259104_00691	MG1348_maxbin_1_00053	YN00	YN00_dN	0.0019	YN00_dN SE	0.0013	YN00_kappa	3.2364	YN00_dS SE	0.0056	YN00_N	1067.7	YN00_S	315.3	YN00_t	0.0109	YN00_omega	0.1956	YN00_dS	0.0096	LWL85m	LWL85m_dN	0.002	LWL85m_w	0.236	LWL85m_N	1020.6	LWL85m_S	362.4	LWL85m_rho	None	LWL85m_dS	0.008	LPB93	LPB93_dN	0.002	LPB93_dS	0.008	LPB93_w	0.2674	LWL85	LWL85_dN	0.001	LWL85_S	324.0	LWL85_dS	0.009	LWL85_w	0.2034	LWL85_N	1059.0	NG86	NG86_dN	0.0019	NG86_omega	0.2251	NG86_dS	0.0086
SRR13259104_00691	MG736_maxbin_2_00524	YN00	YN00_dN	0.0028	YN00_dN SE	0.0016	YN00_kappa	3.2364	YN00_dS SE	0.0105	YN00_N	1068.5	YN00_S	314.5	YN00_t	0.0288	YN00_omega	0.0861	YN00_dS	0.0327	LWL85m	LWL85m_dN	0.002	LWL85m_w	0.1051	LWL85m_N	1020.5	LWL85m_S	362.5	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.003	LPB93_dS	0.027	LPB93_w	0.1219	LWL85	LWL85_dN	0.002	LWL85_S	323.7	LWL85_dS	0.031	LWL85_w	0.0904	LWL85_N	1059.3	NG86	NG86_dN	0.0029	NG86_omega	0.0999	NG86_dS	0.0291
SRR13259104_00691	ERR1045856_00672	YN00	YN00_dN	0.0019	YN00_dN SE	0.0013	YN00_kappa	3.2364	YN00_dS SE	0.0093	YN00_N	1069.2	YN00_S	313.8	YN00_t	0.022	YN00_omega	0.072	YN00_dS	0.026	LWL85m	LWL85m_dN	0.001	LWL85m_w	0.0664	LWL85m_N	1090.1	LWL85m_S	292.9	LWL85m_rho	None	LWL85m_dS	0.027	LPB93	LPB93_dN	0.002	LPB93_dS	0.024	LPB93_w	0.0888	LWL85	LWL85_dN	0.001	LWL85_S	324.0	LWL85_dS	0.025	LWL85_w	0.0756	LWL85_N	1059.0	NG86	NG86_dN	0.0019	NG86_omega	0.0836	NG86_dS	0.0232
SRR13259104_00691	AP012332_1_00693	YN00	YN00_dN	-0.0	YN00_dN SE	0.0	YN00_kappa	3.2364	YN00_dS SE	0.0	YN00_N	1069.2	YN00_S	313.8	YN00_t	-0.0	YN00_omega	99.0	YN00_dS	-0.0	LWL85m	LWL85m_dN	None	LWL85m_S	nan	LWL85m_dS	None	LWL85m_w	nan	LWL85m_N	nan	LPB93	LPB93_dN	0.0	LPB93_dS	0.0	LPB93_w	nan	LWL85	LWL85_dN	0.0	LWL85_S	323.7	LWL85_dS	0.0	LWL85_w	nan	LWL85_N	1059.3	NG86	NG86_dN	0.0	NG86_omega	-1.0	NG86_dS	0.0
SRR13259104_00691	ERR1045866_00661	YN00	YN00_dN	0.0019	YN00_dN SE	0.0013	YN00_kappa	3.2364	YN00_dS SE	0.0064	YN00_N	1068.9	YN00_S	314.1	YN00_t	0.0131	YN00_omega	0.1457	YN00_dS	0.0129	LWL85m	LWL85m_dN	0.001	LWL85m_w	0.1077	LWL85m_N	1136.7	LWL85m_S	246.3	LWL85m_rho	-0.003	LWL85m_dS	0.016	LPB93	LPB93_dN	0.002	LPB93_dS	0.014	LPB93_w	0.1538	LWL85	LWL85_dN	0.001	LWL85_S	323.7	LWL85_dS	0.012	LWL85_w	0.1519	LWL85_N	1059.3	NG86	NG86_dN	0.0019	NG86_omega	0.1684	NG86_dS	0.0115
SRR13259104_00691	SRR3350448_00629	YN00	YN00_dN	-0.0	YN00_dN SE	0.0	YN00_kappa	3.2364	YN00_dS SE	0.0	YN00_N	1069.2	YN00_S	313.8	YN00_t	-0.0	YN00_omega	99.0	YN00_dS	-0.0	LWL85m	LWL85m_dN	None	LWL85m_S	nan	LWL85m_dS	None	LWL85m_w	nan	LWL85m_N	nan	LPB93	LPB93_dN	0.0	LPB93_dS	0.0	LPB93_w	nan	LWL85	LWL85_dN	0.0	LWL85_S	323.7	LWL85_dS	0.0	LWL85_w	nan	LWL85_N	1059.3	NG86	NG86_dN	0.0	NG86_omega	-1.0	NG86_dS	0.0
SRR13259104_00691	MG282_maxbin_3_00293	YN00	YN00_dN	0.0038	YN00_dN SE	0.0019	YN00_kappa	3.2364	YN00_dS SE	0.0086	YN00_N	1068.8	YN00_S	314.2	YN00_t	0.0242	YN00_omega	0.1655	YN00_dS	0.0227	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.16	LWL85m_N	1078.7	LWL85m_S	304.3	LWL85m_rho	None	LWL85m_dS	0.023	LPB93	LPB93_dN	0.004	LPB93_dS	0.02	LPB93_w	0.2134	LWL85	LWL85_dN	0.003	LWL85_S	323.7	LWL85_dS	0.021	LWL85_w	0.1733	LWL85_N	1059.3	NG86	NG86_dN	0.0039	NG86_omega	0.1915	NG86_dS	0.0203
SRR13259104_00691	MG1276_maxbin_03_sub_00888	YN00	YN00_dN	0.0019	YN00_dN SE	0.0013	YN00_kappa	3.2364	YN00_dS SE	0.008	YN00_N	1068.3	YN00_S	314.7	YN00_t	0.0176	YN00_omega	0.0968	YN00_dS	0.0194	LWL85m	LWL85m_dN	0.001	LWL85m_w	0.1013	LWL85m_N	1058.7	LWL85m_S	324.3	LWL85m_rho	None	LWL85m_dS	0.018	LPB93	LPB93_dN	0.002	LPB93_dS	0.016	LPB93_w	0.1331	LWL85	LWL85_dN	0.001	LWL85_S	324.3	LWL85_dS	0.018	LWL85_w	0.1013	LWL85_N	1058.7	NG86	NG86_dN	0.0019	NG86_omega	0.112	NG86_dS	0.0173
SRR13259104_00691	ERR1939904_00681	YN00	YN00_dN	0.0019	YN00_dN SE	0.0013	YN00_kappa	3.2364	YN00_dS SE	0.0056	YN00_N	1067.7	YN00_S	315.3	YN00_t	0.0109	YN00_omega	0.1956	YN00_dS	0.0096	LWL85m	LWL85m_dN	0.002	LWL85m_w	0.236	LWL85m_N	1020.6	LWL85m_S	362.4	LWL85m_rho	None	LWL85m_dS	0.008	LPB93	LPB93_dN	0.002	LPB93_dS	0.008	LPB93_w	0.2674	LWL85	LWL85_dN	0.001	LWL85_S	324.0	LWL85_dS	0.009	LWL85_w	0.2034	LWL85_N	1059.0	NG86	NG86_dN	0.0019	NG86_omega	0.2251	NG86_dS	0.0086
SRR13259104_00691	ERR1045858_00661	YN00	YN00_dN	0.0019	YN00_dN SE	0.0013	YN00_kappa	3.2364	YN00_dS SE	0.0064	YN00_N	1068.9	YN00_S	314.1	YN00_t	0.0131	YN00_omega	0.1457	YN00_dS	0.0129	LWL85m	LWL85m_dN	0.001	LWL85m_w	0.1077	LWL85m_N	1136.7	LWL85m_S	246.3	LWL85m_rho	-0.003	LWL85m_dS	0.016	LPB93	LPB93_dN	0.002	LPB93_dS	0.014	LPB93_w	0.1538	LWL85	LWL85_dN	0.001	LWL85_S	323.7	LWL85_dS	0.012	LWL85_w	0.1519	LWL85_N	1059.3	NG86	NG86_dN	0.0019	NG86_omega	0.1684	NG86_dS	0.0115
