isolate	comparedTo_iso	method_1	sanity_check	YN00_dN		YN00_dN_SE		YN00_kappa		YN00_dS_SE		YN00_N		YN00_S		YN00_t		YN00_omega		YN00_dS	method_2		LWL85m_dN		LWL85m_w		LWL85m_N		LWL85m_S		LWL85m_rho		LWL85m_dS	method3		LPB93_dN		LPB93_dS		LPB93_w	method4		LWL85_dN		LWL85_S		LWL85_dS		LWL85_w		LWL85_N	method5		NG86_dN		NG86_omega		NG86_dS
SRR10957314	SRR3350448	YN00	YN00_dN	0.0027	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404786.5	YN00_S	125925.5	YN00_t	0.0268	YN00_omega	0.0935	YN00_dS	0.029	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1279	LWL85m_N	384006.0	LWL85m_S	146705.0	LWL85m_rho	None	LWL85m_dS	0.024	LPB93	LPB93_dN	0.003	LPB93_dS	0.024	LPB93_w	0.1249	LWL85	LWL85_dN	0.002	LWL85_S	116432.0	LWL85_dS	0.03	LWL85_w	0.0941	LWL85_N	414279.0	NG86	NG86_dN	0.0027	NG86_omega	0.0935	NG86_dS	0.029
SRR10957314	ERR1045808	YN00	YN00_dN	0.0026	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404773.5	YN00_S	125938.5	YN00_t	0.0256	YN00_omega	0.0951	YN00_dS	0.0276	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1289	LWL85m_N	386178.0	LWL85m_S	144533.0	LWL85m_rho	None	LWL85m_dS	0.023	LPB93	LPB93_dN	0.003	LPB93_dS	0.023	LPB93_w	0.1271	LWL85	LWL85_dN	0.002	LWL85_S	116427.0	LWL85_dS	0.028	LWL85_w	0.0968	LWL85_N	414284.0	NG86	NG86_dN	0.0026	NG86_omega	0.095	NG86_dS	0.0276
SRR10957314	ERR1045869	YN00	YN00_dN	0.0033	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404745.1	YN00_S	125966.9	YN00_t	0.0309	YN00_omega	0.1027	YN00_dS	0.0326	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.136	LWL85m_N	385513.0	LWL85m_S	145198.0	LWL85m_rho	None	LWL85m_dS	0.027	LPB93	LPB93_dN	0.003	LPB93_dS	0.027	LPB93_w	0.1348	LWL85	LWL85_dN	0.003	LWL85_S	116436.0	LWL85_dS	0.034	LWL85_w	0.1015	LWL85_N	414275.0	NG86	NG86_dN	0.0033	NG86_omega	0.1026	NG86_dS	0.0326
SRR10957314	MG1297_maxbin_2	YN00	YN00_dN	0.0039	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0006	YN00_N	404721.4	YN00_S	125990.6	YN00_t	0.0387	YN00_omega	0.0923	YN00_dS	0.0419	LWL85m	LWL85m_dN	0.004	LWL85m_w	0.1217	LWL85m_N	386407.0	LWL85m_S	144304.0	LWL85m_rho	None	LWL85m_dS	0.035	LPB93	LPB93_dN	0.004	LPB93_dS	0.035	LPB93_w	0.1203	LWL85	LWL85_dN	0.004	LWL85_S	116436.0	LWL85_dS	0.044	LWL85_w	0.0916	LWL85_N	414275.0	NG86	NG86_dN	0.0039	NG86_omega	0.0923	NG86_dS	0.0418
SRR10957314	ERR1045866	YN00	YN00_dN	0.0028	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404727.8	YN00_S	125984.2	YN00_t	0.0265	YN00_omega	0.1015	YN00_dS	0.028	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1321	LWL85m_N	387700.0	LWL85m_S	143011.0	LWL85m_rho	None	LWL85m_dS	0.024	LPB93	LPB93_dN	0.003	LPB93_dS	0.024	LPB93_w	0.1306	LWL85	LWL85_dN	0.003	LWL85_S	116429.0	LWL85_dS	0.029	LWL85_w	0.1006	LWL85_N	414282.0	NG86	NG86_dN	0.0028	NG86_omega	0.1013	NG86_dS	0.0281
SRR10957314	ERR1045863	YN00	YN00_dN	0.0032	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404723.0	YN00_S	125989.0	YN00_t	0.0313	YN00_omega	0.0939	YN00_dS	0.0338	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1239	LWL85m_N	387192.0	LWL85m_S	143519.0	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.003	LPB93_dS	0.028	LPB93_w	0.1227	LWL85	LWL85_dN	0.003	LWL85_S	116433.0	LWL85_dS	0.035	LWL85_w	0.0939	LWL85_N	414278.0	NG86	NG86_dN	0.0032	NG86_omega	0.0938	NG86_dS	0.0338
SRR10957314	MG1276_maxbin_03_sub	YN00	YN00_dN	0.0033	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404704.1	YN00_S	126007.9	YN00_t	0.0307	YN00_omega	0.1024	YN00_dS	0.0324	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1348	LWL85m_N	387850.0	LWL85m_S	142861.0	LWL85m_rho	None	LWL85m_dS	0.027	LPB93	LPB93_dN	0.003	LPB93_dS	0.027	LPB93_w	0.1322	LWL85	LWL85_dN	0.003	LWL85_S	116431.0	LWL85_dS	0.033	LWL85_w	0.1028	LWL85_N	414280.0	NG86	NG86_dN	0.0033	NG86_omega	0.1022	NG86_dS	0.0324
SRR10957314	MG364_maxbin_5	YN00	YN00_dN	0.0033	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0006	YN00_N	404739.6	YN00_S	125972.4	YN00_t	0.0344	YN00_omega	0.0893	YN00_dS	0.0375	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1155	LWL85m_N	389017.0	LWL85m_S	141694.0	LWL85m_rho	None	LWL85m_dS	0.032	LPB93	LPB93_dN	0.003	LPB93_dS	0.032	LPB93_w	0.1159	LWL85	LWL85_dN	0.003	LWL85_S	116445.0	LWL85_dS	0.039	LWL85_w	0.0891	LWL85_N	414266.0	NG86	NG86_dN	0.0033	NG86_omega	0.0893	NG86_dS	0.0375
SRR10957314	MG1343_maxbin_1	YN00	YN00_dN	0.0032	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404730.9	YN00_S	125981.1	YN00_t	0.0323	YN00_omega	0.0919	YN00_dS	0.035	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1202	LWL85m_N	387233.0	LWL85m_S	143478.0	LWL85m_rho	None	LWL85m_dS	0.029	LPB93	LPB93_dN	0.003	LPB93_dS	0.03	LPB93_w	0.119	LWL85	LWL85_dN	0.003	LWL85_S	116428.0	LWL85_dS	0.036	LWL85_w	0.0911	LWL85_N	414283.0	NG86	NG86_dN	0.0032	NG86_omega	0.0919	NG86_dS	0.035
SRR10957314	MG1348_maxbin_1	YN00	YN00_dN	0.0032	YN00_dN SE	0.0001	YN00_kappa	3.7825	YN00_dS SE	0.0005	YN00_N	404730.5	YN00_S	125981.5	YN00_t	0.0323	YN00_omega	0.0919	YN00_dS	0.035	LWL85m	LWL85m_dN	0.003	LWL85m_w	0.1201	LWL85m_N	387233.0	LWL85m_S	143478.0	LWL85m_rho	None	LWL85m_dS	0.029	LPB93	LPB93_dN	0.003	LPB93_dS	0.03	LPB93_w	0.1189	LWL85	LWL85_dN	0.003	LWL85_S	116428.0	LWL85_dS	0.036	LWL85_w	0.0911	LWL85_N	414283.0	NG86	NG86_dN	0.0032	NG86_omega	0.0918	NG86_dS	0.035
